parent_trunk_subtopic_id,parent_trunk_subtopic_label,branch_count,mean_assignment_score,mean_path_proximity,mean_text_similarity,mean_shared_reference_similarity,strong_assignments,moderate_assignments,weak_assignments,unassigned,member_node_ids
trunk_subtopic_1,smes; marketing; performance; capabilities; entrepreneurial,12,0.031668833333333334,0.0,0.09048241666666668,0.0,0,1,11,0,"SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; RIGGS R, 2024, J BUS RES; MARQUES T, 2023, LEADERSH HEALTH SERV; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; PASCHEN J, 2019, J BUS IND MARK; ROXAS B, 2013, TOURISM MANAGE; HALLAK R, 2012, TOURISM MANAGE"
trunk_subtopic_2,marketing; entrepreneurial; firms; interrelationship; entrepreneur,22,0.1060970909090909,0.18181818181818182,0.08677936363636364,0.011987772727272727,4,0,10,8,"CRICK JM, 2025, INT J ENTREP BEHAV R; ALAREENI B, 2025, J STRATEG MARK; MAYUTO R, 2023, FRONT PSYCHOL; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN; KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; PETRYLAITE E, 2021, J RES MARK ENTREP; TEO STT, 2020, INT J HOSP MANAG; MULKI J, 2019, J BUS RES; FILLIS I, 2021, ARTS MARK; FILLIS I, 2017, J VACAT MARK; LEHMAN K, 2020, HDB ENTREPRENEURSHIP; ALEXIOU K, 2020, NONPROF VOLUNT SEC Q; BOOTH K, 2017, VISIT STUD; FILLIS I, 2015; FROST V, 2014, THEGUARDIAN; KIRCHNER TA, 2013, SOCIAL BUSINESS; KIRCHNER T, 2013"
trunk_subtopic_3,marketing; traditional; uncertainty; conditions; size,11,0.1605160909090909,0.2727272727272727,0.134096,0.017966272727272727,4,1,6,0,"CHOU WC, 2023, NTU MANAG REV; CHEN YH, 2024, SUSTAINABILITY-BASEL; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; BUCCIERI D, 2022, IND MARKET MANAG; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; MAKHLOUFI L, 2024, J RES MARK ENTREP; FILLIS I, 2023, J RES MARK ENTREP; FIGUEIREDO B, 2016, J CONSUM RES; LEHMAN K, 2014, J RES MARK ENTREP; CROSSICK G, 2014, CULT TRENDS"
