Source,Target,Type,Weight,text_similarity,co_citation_similarity,structural_similarity,combined_similarity
"MORRIS MH, 2002, J MARKET THEORY PRAC","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.322139,0.133586,0.298719,0.787368,0.322139
"COLLINSON E, 2001, MANAGEMENT DECISION","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.32188,0.128038,0.289319,0.815005,0.32188
"CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES - AN INNOVATIVE APPROACH","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.320084,0.223256,0.138675,0.855412,0.320084
"BJERKE B, 2002, ENTREPRENEURIAL MARK","KOHLI AK, 1990, J MARKETING",Undirected,0.318861,0.04937,0.322832,0.918267,0.318861
"MORRIS MH, 2002, J MARKET THEORY PRAC","MATSUNO K, 2002, J MARKETING",Undirected,0.31801,0.038184,0.298719,0.981376,0.31801
"BJERKE B, 2002, ENTREPRENEURIAL MARK","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.317237,0.123229,0.249029,0.873116,0.317237
"MATSUNO K, 2002, J MARKETING","READ S, 2009, J MARKETING",Undirected,0.316437,0.11783,0.244949,0.88841,0.316437
"MORRIS MH, 2002, J MARKET THEORY PRAC","READ S, 2009, J MARKETING",Undirected,0.315297,0.095868,0.27938,0.871864,0.315297
"MILLER D, 1983, MANAGE SCI","KOHLI AK, 1990, J MARKETING",Undirected,0.313336,0.027943,0.339683,0.909363,0.313336
"COLLINSON E, 2001, MANAGEMENT DECISION","LUMPKIN GT, 1996, ACAD MANAGE REV",Undirected,0.312502,0.028794,0.302388,0.968546,0.312502
"SARASVATHY SD, 2001, ACAD MANAGE REV","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.310248,0.107932,0.215666,0.930978,0.310248
"BARNEY J, 1991, J MANAGE","NARVER JC, 1990, J MARKETING",Undirected,0.310071,0.013847,0.339623,0.924862,0.310071
"STOKES D, 2000, J RES MARKETING ENTR","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.308285,0.129091,0.193978,0.911506,0.308285
"STOKES D, 2000, J RES MARKETING ENTR","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.305827,0.025101,0.314803,0.921751,0.305827
"KOHLI AK, 1990, J MARKETING","HILLS G, 2011, JOURNAL OF SMALL BUSINESS AND ENTREPRENEURSHIP",Undirected,0.304926,0.06454,0.300557,0.853442,0.304926
"MILLER D, 1983, MANAGE SCI","BJERKE B, 2002, ENTREPRENEURIAL MARK",Undirected,0.304276,0.082162,0.239259,0.917811,0.304276
"MILLER D, 1983, MANAGE SCI","BARNEY J, 1991, J MANAGE",Undirected,0.303451,0.02377,0.269386,0.992344,0.303451
"KOHLI AK, 1990, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.300528,0.062895,0.274986,0.879898,0.300528
"READ S, 2009, J MARKETING","HANSEN DJ, 2010, J RES MARK ENTREP",Undirected,0.296543,0.076598,0.244949,0.88171,0.296543
"STOKES D, 2000, J RES MARKETING ENTR","MILLER D, 1983, MANAGE SCI",Undirected,0.296315,0.042909,0.228671,0.984855,0.296315
"MATSUNO K, 2002, J MARKETING","BARNEY J, 1991, J MANAGE",Undirected,0.295369,0.041717,0.224309,0.990442,0.295369
"STOKES D, 2000, J RES MARKETING ENTR","BARNEY J, 1991, J MANAGE",Undirected,0.295162,0.027357,0.247523,0.981089,0.295162
"COLLINSON E, 2001, MANAGEMENT DECISION","SARASVATHY SD, 2001, ACAD MANAGE REV",Undirected,0.295037,0.03597,0.277746,0.908195,0.295037
"COLLINSON E, 2001, MANAGEMENT DECISION","NARVER JC, 1990, J MARKETING",Undirected,0.293773,0.012481,0.299745,0.916231,0.293773
"STOKES D, 2000, J RES MARKETING ENTR","LUMPKIN GT, 1996, ACAD MANAGE REV",Undirected,0.291471,0.020093,0.247387,0.979222,0.291471
"BJERKE B, 2002, ENTREPRENEURIAL MARK","GILMORE A, 2011, J RES MARK ENTREP",Undirected,0.290496,0.101672,0.188707,0.893479,0.290496
