node_id,year,title,journal,source_title,doi,sap_rank,internal_indegree,internal_outdegree,is_top_fruit,year_score,citation_size_score,leaf_length,leaf_width,leaf_color,x,y,rotation
"ABAIDAH TNABT, 2024, UCJC BUS SOC REV",2024.0,THE MODEL OF ENTREPRENEURIAL MARKETING (EM) AMONG AGROPRENEURS IN THE EMERGING MARKETS: A CONCEPTUAL FRAMEWORK,UCJC BUSINESS AND SOCIETY REVIEW,UCJC BUS SOC REV,10.3232/UBR.2024.V21.N1.05,2061178623,0,34,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,355.4926146640995,213.0550598436501,-119.71901976962295
"SALIH ES, 2024, J DEV ENTREP",2024.0,EXPLORING THE IMPACT OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION: THE MEDIATING ROLE OF ORGANIZATIONAL AMBIDEXTERITY,JOURNAL OF DEVELOPMENTAL ENTREPRENEURSHIP,J DEV ENTREP,10.1142/S1084946724500249,1079849963,0,22,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,409.2860729877293,83.98269166549306,-55.15724718688671
"TOLOSSA AT, 2024, BUS STRATEGY DEV",2024.0,LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,980196951,0,40,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,522.3664025968164,285.90161185815293,-4.9209381201229405
"LOTFABADI VT, 2024, INTERD J MANAGE STUD",2024.0,HOW ENTREPRENEURIAL MARKETING LEADS TO CUSTOMER SATISFACTION (THE MEDIATION EFFECT OF CUSTOMER VALUE),INTERDISCIPLINARY JOURNAL OF MANAGEMENT STUDIES,INTERD J MANAGE STUD,10.22059/ijms.2023.347747.675310,391413146,0,39,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,623.3494295843306,253.2472367653675,28.327187796128527
"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024.0,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,180151157,0,42,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,679.8675594469496,144.44891740902014,-55.56294489208099
"HANOUN D, 2024",2024.0,THE MODERATING ROLE OF TECHNOLOGICAL TURBULENCE IN THE EFFECT OF ENTREPRENEURIAL MARKETING ON SMES' PERFORMANCE,WSEAS TRANSACTIONS ON BUSINESS AND ECONOMICS,,10.37394/23207.2024.21.214,69773358,0,57,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,717.7432070676294,444.4921181108403,-0.634302849557649
"ENTSMINGER JS, 2024, J RES MARK ENTREP",2024.0,"ENTREPRENEURIAL MARKETING STRATEGIES, RESOURCES AND SOCIAL DISADVANTAGE: EXPLORING THE ROLE OF RESOURCES AND MINORITY STATUS AMONG US AGROFOOD ENTERPRISES",JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2023-0033,45603620,0,30,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,621.7895583851631,359.5072456737062,-0.8588045124922417
"NWANKWO CA, 2024, FOUND MANAGE",2024.0,ACHIEVING SURVIVAL OF SOCIAL ENTERPRISE THROUGH ENTREPRENEURIAL MARKETING: AN EMPIRICAL ANALYSIS OF NIGERIA,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2024-0016,2898270,0,22,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,388.60607332947177,258.1387703790587,111.10554333720555
"TOLOSSA A, 2024, J INNOV ENTREPRENEURSHIP",2024.0,UNVEILING THE NEXUS: THE CRUCIAL ROLE OF COMPETITIVE ADVANTAGE IN BRIDGING ENTREPRENEURIAL MARKETING PRACTICES AND SUSTAINABLE FIRM PERFORMANCE IN SMALL AND MEDIUM ENTERPRISES,JOURNAL OF INNOVATION AND ENTREPRENEURSHIP,J INNOV ENTREPRENEURSHIP,10.1186/S13731-024-00398-0,1803313,0,42,False,0.7142857142857143,1.0,21.0,11.739,#ABBC2D,173.26819491250146,253.20831807507932,194.8379867681029
"SUANDI E, 2023, J FINANC SERV MARK",2023.0,"EVALUATING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING, COMPETITIVE ADVANTAGE, AND ISLAMIC BANKS PERFORMANCE",JOURNAL OF FINANCIAL SERVICES MARKETING,J FINANC SERV MARK,10.1057/s41264-022-00169-6,3124156404,0,39,False,0.5714285714285714,1.0,21.0,11.739,#A2B42D,358.2180759648601,243.01649342865016,138.9053064238726
