node_id,year,title,journal,source_title,doi,sap_rank,internal_indegree,internal_outdegree,is_top_fruit,year_score,citation_size_score,leaf_length,leaf_width,leaf_color,x,y,rotation
"MIRZAYI S, 2025",2025.0,HOW GENERATIVE AI IS RESHAPING ENTREPRENEURIAL MARKETING,JOURNAL OF MARKETING THEORY AND PRACTICE,,10.1080/10696679.2025.2571634,35725390,0,24,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,935.6325897379102,367.17437182194476,-57.0
"NEILL S, 2025, J RES MARK ENTREP",2025.0,THE INTEGRATION OF ENTREPRENEURIAL MARKETING PROCESSES AND CONTROLS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-06-2024-0138,25471853,0,27,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,213.82962677860678,210.88191072811847,-10.0
"LU H, 2025",2025.0,EXPLORE THE IMPORTANCE OF COMPETITIVE STRATEGY TO ENTREPRENEURIAL MARKETING AND BUSINESS PERFORMANCE,JOURNAL OF THE INTERNATIONAL COUNCIL FOR SMALL BUSINESS,,10.1080/26437015.2025.2513961,17189534,0,21,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,768.9267039931696,255.85126090294028,37.0
"SAXENA G, 2025",2025.0,IDENTITY WORK AND ENTREPRENEURIAL MARKETING AMONG WOMEN ENTREPRENEURS IN VIETNAM: A POSTCOLONIAL FEMINIST PERSPECTIVE,"GENDER, WORK AND ORGANIZATION",,10.1111/GWAO.70087,6446785,0,7,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,878.8005000347783,288.72686926101636,-46.0
"ISTREFI A, 2025, INT J TECHNOL ENHANC",2025.0,THE ROLE OF ENTREPRENEURIAL MARKETING AND DIGITAL TRANSFORMATION ON WOMEN'S ENTREPRENEURIAL INTENTIONS IN KOSOVO,INTERNATIONAL JOURNAL OF TECHNOLOGY ENHANCED LEARNING,INT J TECHNOL ENHANC,10.1504/IJTEL.2025.145315,1389665,0,13,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,360.7790248931582,208.3898272402597,1.0
"EGGERS F, 2025, J RES MARK ENTREP",2025.0,"ENTREPRENEURIAL MARKETING, TECHNOLOGY, AND TRANSFORMATIVE CHANGE: EDITORIAL AND INTRODUCTION TO THE SPECIAL ISSUE",JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2025-216,334258,0,5,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,628.9094378094877,328.4314239488294,48.0
"SARABDEEN J, 2025",2025.0,SAUDI ARABIAN LEGAL FRAMEWORK ON THE USE OF SOCIAL MEDIA IN ENTREPRENEURIAL MARKETING,SOCIAL SCIENCES AND HUMANITIES OPEN,,10.1016/J.SSAHO.2025.102242,131270,0,24,False,0.8571428571428571,1.0,34.0,14.62,#B5C42D,948.3120508719721,225.45837586340699,-35.0
"QUINTERO-ARANGO LF, 2024, CLIO AM",2024.0,ENTREPRENEURIAL MARKETING IN ACTION: MULTIDIMENSIONAL IMPACT AND SECTORAL APPLICATIONS,CLIO AMERICA,CLIO AM,10.21676/23897848.5683,17974524032,0,39,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,390.8693964023948,291.8412108990832,12.0
"YADAV A, 2024, J ORGAN CHANGE MANAG",2024.0,DEVELOPING AND VALIDATING A SCALE FOR ENTREPRENEURIAL MARKETING ORIENTATIONS: EMICO FRAMEWORK AND ITS IMPACT ON BUSINESS PERFORMANCE IN STARTUPS,JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT,J ORGAN CHANGE MANAG,10.1108/JOCM-11-2023-0461,11326951539,0,60,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,463.54583166964267,262.9075788973688,59.0
"WIJEKOON S, 2024, EUR J MARKETING",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON NEW VENTURE BRAND IMAGE AND PERFORMANCE: A CAPABILITY PERSPECTIVE,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,10.1108/EJM-07-2022-0568,2071072188,0,65,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,343.86735123479997,388.1573931449338,23.0
"ABAIDAH TNABT, 2024, UCJC BUS SOC REV",2024.0,THE MODEL OF ENTREPRENEURIAL MARKETING (EM) AMONG AGROPRENEURS IN THE EMERGING MARKETS: A CONCEPTUAL FRAMEWORK,UCJC BUSINESS AND SOCIETY REVIEW,UCJC BUS SOC REV,10.3232/UBR.2024.V21.N1.05,2061178623,0,34,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,464.3825176138772,164.16822983387206,-60.0
"SALIH ES, 2024, J DEV ENTREP",2024.0,EXPLORING THE IMPACT OF ENTREPRENEURIAL MARKETING ON SHARED VALUE CREATION: THE MEDIATING ROLE OF ORGANIZATIONAL AMBIDEXTERITY,JOURNAL OF DEVELOPMENTAL ENTREPRENEURSHIP,J DEV ENTREP,10.1142/S1084946724500249,1079849963,0,22,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,1191.9915814128258,243.8756190159895,-13.0
"TOLOSSA AT, 2024, BUS STRATEGY DEV",2024.0,LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,980196951,0,40,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,151.47479424285285,381.6639295846214,34.0
"LOTFABADI VT, 2024, INTERD J MANAGE STUD",2024.0,HOW ENTREPRENEURIAL MARKETING LEADS TO CUSTOMER SATISFACTION (THE MEDIATION EFFECT OF CUSTOMER VALUE),INTERDISCIPLINARY JOURNAL OF MANAGEMENT STUDIES,INTERD J MANAGE STUD,10.22059/ijms.2023.347747.675310,391413146,0,39,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,549.699233435554,57.46584452055413,-49.0
"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024.0,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,180151157,0,42,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,1250.1798180131375,348.8296571754551,-2.0
"HANOUN D, 2024",2024.0,THE MODERATING ROLE OF TECHNOLOGICAL TURBULENCE IN THE EFFECT OF ENTREPRENEURIAL MARKETING ON SMES' PERFORMANCE,WSEAS TRANSACTIONS ON BUSINESS AND ECONOMICS,,10.37394/23207.2024.21.214,69773358,0,57,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,62.53626777341728,303.82101997468357,45.0
"ENTSMINGER JS, 2024, J RES MARK ENTREP",2024.0,"ENTREPRENEURIAL MARKETING STRATEGIES, RESOURCES AND SOCIAL DISADVANTAGE: EXPLORING THE ROLE OF RESOURCES AND MINORITY STATUS AMONG US AGROFOOD ENTERPRISES",JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2023-0033,45603620,0,30,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,765.5089636297741,88.50155089382565,-38.0
"NWANKWO CA, 2024, FOUND MANAGE",2024.0,ACHIEVING SURVIVAL OF SOCIAL ENTERPRISE THROUGH ENTREPRENEURIAL MARKETING: AN EMPIRICAL ANALYSIS OF NIGERIA,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2024-0016,2898270,0,22,False,0.7142857142857143,1.0,34.0,14.62,#ABBC2D,1071.444338211602,404.2024504706842,9.0
