branch_label,selection_strategy,branch_rank,node_id,baseline_ToS,sap_rank,year,title,journal,source_title,doi,has_article_metadata
branch_2,current,4,"MAKHLOUFI L, 2024, J RES MARK ENTREP",branch_2,0,2024.0,MEDIATING EFFECT OF ABSORPTIVE CAPACITY ON THE RELATIONSHIP BETWEEN KNOWLEDGE SHARING AND ENTREPRENEURIAL ORIENTATION AND THE MODERATING ROLE OF OPPORTUNITY RECOGNITION,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-07-2023-0123,True
branch_2,current,5,"MARQUES T, 2023, LEADERSH HEALTH SERV",branch_2,0,2023.0,RESPONSIBLE LEADERSHIP AND TURNOVER INTENTIONS IN HEALTH-CARE PROFESSIONALS: THE MEDIATING ROLE OF BURNOUT,LEADERSHIP IN HEALTH SERVICES,LEADERSH HEALTH SERV,10.1108/LHS-11-2022-0109,True
branch_2,current,6,"YASIN R, 2021, J KNOWL MANAG",branch_2,0,2021.0,RESPONSIBLE LEADERSHIP AND EMPLOYEES’ TURNOVER INTENTION. EXPLORE THE MEDIATING ROLES OF ETHICAL CLIMATE AND CORPORATE IMAGE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,10.1108/JKM-07-2020-0583,True
branch_2,current,7,"KANG H, 2021, ASIAN NURS RES",branch_2,0,2021.0,MODEL SETTING AND INTERPRETATION OF RESULTS IN RESEARCH USING STRUCTURAL EQUATION MODELING: A CHECKLIST WITH GUIDING QUESTIONS FOR REPORTING,ASIAN NURSING RESEARCH,ASIAN NURS RES,10.1016/J.ANR.2021.06.001,True
branch_2,current,8,"HALISAH A, 2021, J KNOWL MANAG",branch_2,0,2021.0,SOCIAL DILEMMAS IN KNOWLEDGE SHARING: AN EXAMINATION OF THE INTERPLAY BETWEEN KNOWLEDGE SHARING CULTURE AND PERFORMANCE CLIMATE,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,10.1108/JKM-08-2020-0631,True
branch_2,current,9,"TEO STT, 2020, INT J HOSP MANAG",branch_2,0,2020.0,"PSYCHOSOCIAL WORK ENVIRONMENT, WORK ENGAGEMENT, AND EMPLOYEE COMMITMENT: A MODERATED, MEDIATION MODEL",INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,INT J HOSP MANAG,10.1016/J.IJHM.2019.102415,True
branch_2,current,10,"MUHAMMED S, 2020, J KNOWL MANAG",branch_2,0,2020.0,PEER KNOWLEDGE SHARING AND ORGANIZATIONAL PERFORMANCE: THE ROLE OF LEADERSHIP SUPPORT AND KNOWLEDGE MANAGEMENT SUCCESS,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,10.1108/JKM-03-2020-0227,True
branch_2,current,11,"KIM W, 2020, APPL ERGON",branch_2,0,2020.0,FACTORS AFFECTING TRUST IN HIGH-VULNERABILITY HUMAN-ROBOT INTERACTION CONTEXTS: A STRUCTURAL EQUATION MODELLING APPROACH,APPLIED ERGONOMICS,APPL ERGON,10.1016/J.APERGO.2020.103056,True
branch_2,current,12,"BJORVATN T, 2020, J KNOWL MANAG",branch_2,0,2020.0,THE IMPACT OF TIME PRESSURE ON KNOWLEDGE TRANSFER EFFECTIVENESS IN TEAMS: TRUST AS A CRITICAL BUT FRAGILE MEDIATOR,JOURNAL OF KNOWLEDGE MANAGEMENT,J KNOWL MANAG,10.1108/JKM-05-2020-0379,True
branch_2,current,13,"MULKI J, 2019, J BUS RES",branch_2,0,2019.0,JOINT IMPACT OF ETHICAL CLIMATE AND EXTERNAL WORK LOCUS OF CONTROL ON JOB MEANINGFULNESS,JOURNAL OF BUSINESS RESEARCH,J BUS RES,10.1016/J.JBUSRES.2019.02.007,True
branch_2,current,14,"LEI H, 2019, CHIN MANAG STUD",branch_2,0,2019.0,HOW KNOWLEDGE SHARING CONNECTS INTERPERSONAL TRUST AND INNOVATION CAPABILITY,CHINESE MANAGEMENT STUDIES,CHIN MANAG STUD,10.1108/CMS-06-2018-0554,True
branch_2,current,15,"EAPEN A, 2019, ORGAN SCI",branch_2,0,2019.0,TRANSFERRING TACIT KNOW-HOW: DO OPPORTUNISM SAFEGUARDS MATTER FOR FIRM BOUNDARY DECISIONS?,ORGANIZATION SCIENCE,ORGAN SCI,10.1287/ORSC.2018.1236,True
branch_3,current,1,"KHAN H, 2025, INT J ENTREP BEHAV R",branch_3,5212724470,2025.0,"INTEGRATION OF OUTSIDE-IN AND INSIDE-OUT ENTREPRENEURIAL MARKETING CAPABILITIES, MARKETING AGILITY AND RESOURCES FOR ENTREPRENEURIAL FIRM PERFORMANCE",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-02-2022-0193,True
branch_3,current,2,"YANG Z, 2024, INT J ENTREP BEHAV R",branch_3,388032005,2024.0,"ORGANISATIONAL SENSEMAKING, OUTSIDE-IN ENTREPRENEURIAL MARKETING CAPABILITY, AND EFFECTUAL PROBLEM SETTING",INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-08-2023-0797,True
branch_3,current,3,"ALI S, 2023, EUR J INNOV MANAG",branch_3,0,2023.0,MANAGING THE PRODUCT INNOVATIONS PARADOX: THE INDIVIDUAL AND SYNERGISTIC ROLE OF THE FIRM INSIDE-OUT AND OUTSIDE-IN MARKETING CAPABILITY,EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,EUR J INNOV MANAG,10.1108/EJIM-05-2021-0234,True
branch_3,current,4,"KHAN H, 2021, INT BUS REV",branch_3,0,2021.0,THE EFFICACY OF MARKETING SKILLS AND MARKET RESPONSIVENESS IN MARKETING PERFORMANCE OF EMERGING MARKET EXPORTING FIRMS IN ADVANCED MARKETS: THE MODERATING ROLE OF COMPETITIVE INTENSITY,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/J.IBUSREV.2021.101860,True
branch_3,current,5,"RUST RT, 2020, IND MARKET MANAG",branch_3,0,2020.0,"OUTSIDE-IN MARKETING: WHY, WHEN AND HOW?",INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,10.1016/J.INDMARMAN.2019.12.003,True
branch_3,current,6,"KHAN H, 2020, INT BUS REV",branch_3,0,2020.0,IS MARKETING AGILITY IMPORTANT FOR EMERGING MARKET FIRMS IN ADVANCED MARKETS?,INTERNATIONAL BUSINESS REVIEW,INT BUS REV,10.1016/J.IBUSREV.2020.101733,True
branch_3,current,7,"HAGEN B, 2019, INT MARKET REV",branch_3,0,2019.0,FROM FRAGILE TO AGILE: MARKETING AS A KEY DRIVER OF ENTREPRENEURIAL INTERNATIONALIZATION,INTERNATIONAL MARKETING REVIEW,INT MARKET REV,10.1108/IMR-01-2018-0023,True
branch_3,current,8,"WELTER C, 2018, J BUS VENTURING",branch_3,0,2018.0,EFFECTUATION UNDER RISK AND UNCERTAINTY: A SIMULATION MODEL,JOURNAL OF BUSINESS VENTURING,J BUS VENTURING,10.1016/J.JBUSVENT.2017.11.005,True
branch_3,current,9,"MU JF, 2018, IND MARKET MANAG",branch_3,0,2018.0,OUTSIDE-IN MARKETING CAPABILITY AND FIRM PERFORMANCE,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,10.1016/J.INDMARMAN.2018.03.010,True
branch_3,current,10,"GUO HL, 2018, J BUS RES",branch_3,0,2018.0,COMPARING THE IMPACT OF DIFFERENT MARKETING CAPABILITIES: EMPIRICAL EVIDENCE FROM B2B FIRMS IN CHINA,JOURNAL OF BUSINESS RESEARCH,J BUS RES,10.1016/J.JBUSRES.2018.04.010,True
branch_3,current,11,"ASLAM H, 2018, INT J OPER PROD MAN",branch_3,0,2018.0,DYNAMIC SUPPLY CHAIN CAPABILITIES,INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT,INT J OPER PROD MAN,10.1108/IJOPM-09-2017-0555,True
branch_3,current,12,"SHENG ML, 2017, IND MARKET MANAG",branch_3,0,2017.0,A DYNAMIC CAPABILITIES-BASED FRAMEWORK OF ORGANIZATIONAL SENSEMAKING THROUGH COMBINATIVE CAPABILITIES TOWARDS EXPLORATORY AND EXPLOITATIVE PRODUCT INNOVATION IN TURBULENT ENVIRONMENTS,INDUSTRIAL MARKETING MANAGEMENT,IND MARKET MANAG,10.1016/J.INDMARMAN.2017.06.001,True
branch_3,current,13,"LI Y, 2017, J PROD INNOVAT MANAG",branch_3,0,2017.0,HOW DO RESOURCE STRUCTURING AND STRATEGIC FLEXIBILITY INTERACT TO SHAPE RADICAL INNOVATION?,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,J PROD INNOVAT MANAG,10.1111/JPIM.12389,True
branch_3,current,14,"JONES O, 2017, ENTREP REGION DEV",branch_3,0,2017.0,EFFECTUAL ENTREPRENEURING: SENSEMAKING IN A FAMILY-BASED START-UP,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,ENTREP REGION DEV,10.1080/08985626.2017.1297854,True
branch_3,current,15,"GOLGECI I, 2017, J BUS IND MARK",branch_3,0,2017.0,THE INTERPLAY BETWEEN KEY MARKETING AND SUPPLY CHAIN MANAGEMENT CAPABILITIES: THE ROLE OF INTEGRATIVE MECHANISMS,JOURNAL OF BUSINESS AND INDUSTRIAL MARKETING,J BUS IND MARK,10.1108/JBIM-05-2016-0102,True
