branch_label,selection_strategy,community_size,eligible_candidate_count,candidate_count,community_node_ids
branch_1,current,43,36,15,"ALAREENI B, 2022, J STRATEG MARK; ALAREENI B, 2025, J STRATEG MARK; ALQAHTANI N, 2022, J STRATEG MARK; ARLI D, 2018, IND MARKET MANAG; ATTUAHENE-GIMA K, 2001, ORGAN SCI; BERRY LL, 1995, J ACAD MARKET SCI; BOSLEY S, 2015, J PUBLIC POLICY MARK; BRENNER ME, 2006, HANDBOOK OF COMPLEMENTARY METHODS IN EDUCATION RESEARCH; BUCCIERI D, 2022, IND MARK MANAGE; BUCCIERI D, 2022, IND MARKET MANAG; CHEN Y, 2024, SUSTAINABILITY; CHEN YH, 2024, SUSTAINABILITY-BASEL; CHOU WC, 2023, NTU MANAG REV; CRICK J, 2020, J STRATEG MARK; CRICK J, 2023, INT J ENTREP BEHAV RES; CRICK JM, 2021, J STRATEG MARK; CRICK JM, 2025, INT J ENTREP BEHAV R; DUFFY DL, 2005, J CONSUM MARK; GOAD EA, 2014, J PERS SELL SALES M; HOLMEN M, 2007, INDUSTRY INNOVATION; JAP SD, 2000, J MARKETING RES; JARAMILLO F, 2009, J PERS SELL SALES M; KVALE S, 2007, INTERVIEWS; LANGLEY A, 1999, ACAD MANAGE REV; LANGLEY A, 2013, ACAD MANAGE J; LI E, 2021, SUSTAINABILITY-BASEL; MAYUTO R, 2023, FRONT PSYCHOL; MERRIAM SB, 2016, QUALITATIVE RESEARCH: A GUIDE TO DESIGN AND IMPLEMENTATION; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; OMAR N, 2018, J KOMUN; POON P, 2017, INT J RETAIL DISTRIB; QUINTERO-ARANGO LF, 2024, CLIO AM; RAHIM H, 2015; REZAEI R, 2017, J AGR SCI TECH-IRAN; ROBLEDO S, 2022, J SCIENTOMETR RES; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; SELDEN PD, 2015, J BUS VENTURING; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; SIGUAW JA, 2006, J PROD INNOVAT MANAG; TOGHRAEE M, 2017, INTERNATIONAL JOURNAL OF APPLIED BUSINESS AND ECONOMIC RESEARCH; WALES WJ, 2021, J BUS RES; YIN RK, 2009, CASE STUDY RESEARCH: DESIGN AND METHODS; ZHANG JZ, 2016, J MARKETING"
branch_2,current,49,35,15,"AGRAWAL R, 2017; AGRAWAL RK, 2017, INT J ORGAN ANAL; ALZGHOUL A, 2018, J WORKPLACE LEARN; BJORVATN T, 2020, J KNOWL MANAG; BURMEISTER A, 2015, J KNOWL MANAG; CHIN W, 2003, INFORM SYST RES; CHOI B, 2013, MANAG DECIS; CHOI BK, 2013, MANAGE DECIS; DUBEY P, 2017; DUBEY PRINCE, 2018, INTERNATIONAL JOURNAL OF ELECTRONIC MARKETING AND RETAILING; EAPEN A, 2019, ORGAN SCI; FIORE AM, 2013, J MARKETING DEV COMP; GUHA S, 2017; HAIR JF, 2011, J MARKET THEORY PRAC; HALISAH A, 2021, J KNOWL MANAG; JOIA L, 2010, J KNOWL MANAG; JOIA LA, 2010, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; KANG J, 2010, EXPERT SYST APPL; KHAN H, 2022, INT J ENTREP BEHAV RES; KHASMAFKAN-NEZAM M, 2025; KHASMAFKAN-NEZAM M, 2025, VINE J INFORM KNOWL MANAG; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KIM H, 2013; KIM HAE-YOUNG, 2013, RESTOR DENT ENDOD; KIM W, 2020, APPL ERGON; KIM Y, 2015, J BUS RES; KOCK N, 2012; KOCK N, 2012, J ASSOC INF SYST; KOCK N, 2015; KOCK N, 2015, INT J E-COLLAB; LEI H, 2019, CHIN MANAG STUD; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; MUHAMMED S, 2020, J KNOWL MANAG; MULKI J, 2019, J BUS RES; PAEK S, 2015, INT J HOSP MANAG; RENKO M, 2012, MANAG DECIS; RENKO M, 2012, MANAGE DECIS; RIGGS R, 2024, J BUS RES; SAINI A, 2009, J BUS ETHICS; SCHMINKE M, 2007, ORGAN DYN; TEO S, 2019, INT J HOSP MANAG; TEO STT, 2020, INT J HOSP MANAG; VASILCHENKO E, 2011, J INT MARKETING; VICTOR B, 1988, ADMIN SCI QUART; YASIN R, 2021, J KNOWL MANAG; ВАСИЛЬЧЕНКО Е, 2011, J INT MARKETING"
branch_3,current,128,94,15,"ALDRICH H, 1990, ANNU REV SOCIOL; ALDRICH HE, 1990, ANNU REV SOCIOL; ALI S, 2023, EUR J INNOV MANAG; ALIAGA-ISLA R, 2013, ENTREP REGION DEV; ALTINAY L, 2008, SERV IND J; ALVESSON M, 2003, ACAD MANAGE REV; AMIT R, 2001, STRATEG MANAGE J; AMIT R, 2001, STRATEGIC MANAGE J; ANWAR M, 2016, QUAL MARK RES; ANWAR MN, 2016, QUAL MARK RES; AREND R, 2015, ACAD MANAGE REV; AREND RJ, 2015, ACAD MANAGE REV; ASLAM H, 2018, INT J OPER PROD MAN; AZMAT F, 2010, EUR MANAG J; BALOGUN J, 2004, ACAD MANAGE J; BARON RM, 1986, J PERS SOC PSYCHOL; BARRY D, 1997, ACAD MANAGE REV; BATES T, 2013, ECON DEV Q; BAYCAN-LEVENT T, 2009, ENTREP REGION DEV; BECKERS P, 2013, ENTREP REGION DEV; CARSON D, 1990, J CONSUM MARK; CHAGANTI R, 2002, J SMALL BUS MANAGE; CHESBROUGH H, 2002, IND CORP CHANGE; CHIA R, 2000, ORGANIZATION; CORNELISSEN J, 2010, ACAD MANAGE REV; CORNELISSEN JP, 2010, ACAD MANAGE REV; CZARNIAWSKA B, 2003, HUM RELAT; DAWSON J, 2013, J BUS PSYCHOL; DAWSON JF, 2014, J BUS PSYCHOL; DAY G, 2013, J ACAD MARKET SCI; DENZIN NK, 2011, THE SAGE HANDBOOK FOR QUALITATIVE RESEARCH; DOGANOVA L, 2009, RES POLICY; EDWARDS P, 2006, J MANAGE STUD; FOXALL G, 1996, J STRATEG MARK; GARSTEN C, 1999, ORGAN STUD; GHAURI P, 2016, J BUS RES; GILMORE A, 1999, NEW ENGLAND JOURNAL OF ENTREPRENEURSHIP; GIMMON E, 2010, RES POLICY; GOLGECI I, 2017, J BUS IND MARK; GRANT RM, 1996, STRATEGIC MANAGE J; GUO HL, 2018, J BUS RES; HAGEN B, 2018, INT MARK REV; HAGEN B, 2019, INT MARKET REV; HALEBLIAN J, 1993, ACAD MANAGE J; HILL R, 1995, J MANAGE; HILL RC, 1995, J MANAGE; JONES O, 2017, ENTREP REGION DEV; JONES T, 2012, URBAN STUD; JONES T, 2014, ENTREP REGION DEV; KEEFE L, 2004, MARKETING NEWS; KHAN H, 2020, INT BUS REV; KHAN H, 2021, INT BUS REV; KHAN H, 2025, INT J ENTREP BEHAV R; KHAN H, 2025, INT J ENTREP BEHAV RES; KLOOSTERMAN R, 1999, INT J URBAN REGIONAL; KOR Y, 2001, ACAD MANAGE REV; KRAAIJENBRINK J, 2010, J MANAGE; LEI D, 1996, J MANAGE; LEVIE J, 2007, SMALL BUS ECON; LI Y, 2017, J PROD INNOVAT MANAG; LOUNSBURY M, 2001, STRATEGIC MANAGE J; LU Y, 2009, J INT BUS STUD; LU Y, 2010, J INT BUS STUD; MAITLIS S, 2005, ACAD MANAGE J; MALHOTRA N, 2006, MANAGE SCI; MALHOTRA NK, 2006, MANAGE SCI; MARTENS M, 2007, ACAD MANAGE J; MARTENS ML, 2007, ACAD MANAGE J; MASUREL E, 2004, ENTREP REGION DEV; MCCORCLE M, 1986, EVAL PROGRAM PLANN; MCEWAN C, 2005, INT J URBAN REGIONAL; MCKELVIE A, 2009, J BUS VENTUR; MCKELVIE A, 2011, J BUS VENTURING; MCPHERSON M, 2007, INT J CONSUM STUD; MENGUC B, 2009, IND MARK MANAGE; MENGUC B, 2010, IND MARKET MANAG; MOHAMMED S, 2010, J MANAGE; MU J, 2015, IND MARK MANAGE; MU J, 2018, IND MARK MANAGE; MU JF, 2015, IND MARKET MANAG; MU JF, 2018, IND MARKET MANAG; NARASIMHA R, 2008, TECHNOL SOC; NAVIS C, 2011, ACAD MANAGE REV; NEILL S, 2006, IND MARK MANAGE; NEILL S, 2007, IND MARKET MANAG; OZANNE J, 1992, J MARKETING RES; PERRY J, 2011; PERRY JT, 2012, ENTREP THEORY PRACT; PREACHER K, 2007, MULTIVAR BEHAV RES; PREACHER K, 2008, BEHAV RES METHODS; PREACHER KJ, 2007, MULTIVAR BEHAV RES; RATH J, 2002, ENTREP REGION DEV; READ S, 2008, J BUS VENTUR; RICCIARDI F, 2016, J BUS RES; RUST R, 2019, IND MARK MANAGE; RUST RT, 2020, IND MARKET MANAG; SARASVATHY S, 2008, EFFECTUATION ELEMENT; SARASVATHY S, 2010; SEPULVEDA L, 2011, ENTREP REGION DEV; SETIA P, 2007, INFORM TECHNOL MANAG; SETIA P, 2008, INFORM TECHNOL MANAG; SHENG M, 2017, IND MARK MANAGE; SHENG ML, 2017, IND MARKET MANAG; SIRMON D, 2007, ACAD MANAGE REV; SIRMON D, 2010, J MANAGE; SIRMON DG, 2007, ACAD MANAGE REV; SONENSHEIN S, 2007, ACAD MANAGE REV; SOSNA M, 2010, LONG RANGE PLANN; TSOUKAS H, 2002, ORGAN SCI; VERDUIJN K, 2013, ENTREP REGION DEV; VILLARREAL A, 2014, DEMOGRAPHY; VOOLA R, 2010, EUR J MARK; WALLNOFER M, 2013, IND MARK MANAGE; WALLNOFER M, 2013, IND MARKET MANAG; WEBER K, 2005, POETICS; WEICK K, 1993, ADM SCI Q; WEICK K, 2005, ORGAN SCI; WEICK KE, 1993, ADMIN SCI QUART; WEICK KE, 2005, ORGAN SCI; WELTER C, 2017, J BUS VENTUR; WELTER C, 2018, J BUS VENTURING; WILLIAMS L, 2006, J ETHN MIGR STUD; WILTBANK R, 2006, STRATEG MANAGE J; WILTBANK R, 2006, STRATEGIC MANAGE J; WITHERS MC, 2011, J SMALL BUS MANAGE; YANG Z, 2024, INT J ENTREP BEHAV R; YANG Z, 2024, INT J ENTREP BEHAV RES; ZOTT C, 2011, J MANAGE"
