branch_label,paper_count,recent_window_years,recent_paper_count,previous_window_paper_count,recent_paper_share,recent_growth_rate,publication_agr,mean_publication_year,newest_publication_year,oldest_publication_year,active_year_count,active_year_share,semantic_coherence,selected_density,selected_connected_components,selected_largest_component_fraction,citations_received,mean_citation_velocity,max_citation_velocity,mean_branch_to_trunk_score,mean_path_proximity,strong_assignment_count,moderate_assignment_count,top_terms,member_node_ids,component_delta_after_branch_removal,giant_component_loss_after_branch_removal,dominant_parent_trunk_subtopic_id,score_weighted_parent_trunk_subtopic_id,parent_score_concentration,assignment_confidence_share,parent_trunk_distribution,parent_trunk_score_distribution
branch_1,15,5,9,6,0.6,0.5,0.14814814814814817,2021.5333333333333,2025,2017,8,0.8,0.035650179844337646,0.20952380952380953,1,1.0,41.0,0.7014814814814815,4.0,0.09402046666666665,0.13333333333333333,2,2,entrepreneurial; marketing; direct; immigrant; entrepreneurship; process; selling; southeast; asian; immigrants; micro; small,"CRICK JM, 2025, INT J ENTREP BEHAV R; CHEN YH, 2024, SUSTAINABILITY-BASEL; ALAREENI B, 2025, J STRATEG MARK; CHOU WC, 2023, NTU MANAG REV; MAYUTO R, 2023, FRONT PSYCHOL; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN",14.0,14.0,trunk_subtopic_2,trunk_subtopic_3,0.7690219221772281,0.26666666666666666,trunk_subtopic_1:1; trunk_subtopic_2:9; trunk_subtopic_3:5,trunk_subtopic_3:1.084557; trunk_subtopic_2:0.220106; trunk_subtopic_1:0.105644
branch_2,15,5,5,10,0.3333333333333333,-0.5,0.14285714285714285,2021.5333333333333,2025,2019,6,0.75,0.058387954243461576,0.1523809523809524,1,1.0,31.0,0.4257936507936507,1.0,0.09910826666666667,0.16666666666666666,3,0,entrepreneurial; marketing; knowledge; ethical; climate; transfer; organizational; organization; work; role; environment; learning,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; PETRYLAITE E, 2021, J RES MARK ENTREP; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; PASCHEN J, 2019, J BUS IND MARK; MULKI J, 2019, J BUS RES",6.0,6.0,trunk_subtopic_1,trunk_subtopic_2,0.675809754181286,0.2,trunk_subtopic_1:9; trunk_subtopic_2:4; trunk_subtopic_3:2,trunk_subtopic_2:1.004675; trunk_subtopic_3:0.303814; trunk_subtopic_1:0.178135
branch_3,15,5,1,5,0.06666666666666667,-0.8,0.13095238095238096,2016.1333333333334,2023,2012,9,0.6,0.04231839639669705,0.19047619047619047,1,1.0,39.0,0.2742945942945943,1.0,0.10552719999999999,0.16666666666666666,3,0,art; entrepreneurial; marketing; creation; arts; market; artists; value; product; museum; tourism; key,"FILLIS I, 2023, J RES MARK ENTREP; FILLIS I, 2021, ARTS MARK; LEHMAN K, 2020, HDB ENTREPRENEURSHIP; ALEXIOU K, 2020, NONPROF VOLUNT SEC Q; FILLIS I, 2017, J VACAT MARK; BOOTH K, 2017, VISIT STUD; FIGUEIREDO B, 2016, J CONSUM RES; FILLIS I, 2015; LEHMAN K, 2014, J RES MARK ENTREP; FROST V, 2014, THEGUARDIAN; CROSSICK G, 2014, CULT TRENDS; ROXAS B, 2013, TOURISM MANAGE; KIRCHNER TA, 2013, SOCIAL BUSINESS; KIRCHNER T, 2013; HALLAK R, 2012, TOURISM MANAGE",11.0,11.0,trunk_subtopic_2,trunk_subtopic_2,0.7008335291754163,0.2,trunk_subtopic_1:2; trunk_subtopic_2:9; trunk_subtopic_3:4,trunk_subtopic_2:1.109355; trunk_subtopic_3:0.377306; trunk_subtopic_1:0.096247
