branch_label,paper_count,supported_paper_count,unsupported_paper_count,mean_reference_novelty,median_reference_novelty,max_reference_novelty,recent_mean_reference_novelty,high_novelty_share,mean_same_domain_candidate_count,member_node_ids,branch_reference_novelty_score,branch_reference_novelty_rank
branch_2,15,3,12,0.9610660000000001,0.957087,0.975994,0.9665405,1.0,63.333333333333336,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; PETRYLAITE E, 2021, J RES MARK ENTREP; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; PASCHEN J, 2019, J BUS IND MARK; MULKI J, 2019, J BUS RES",1.0,1
branch_1,15,2,13,0.960501,0.960501,0.966067,0.960501,1.0,79.5,"CRICK JM, 2025, INT J ENTREP BEHAV R; CHEN YH, 2024, SUSTAINABILITY-BASEL; ALAREENI B, 2025, J STRATEG MARK; CHOU WC, 2023, NTU MANAG REV; MAYUTO R, 2023, FRONT PSYCHOL; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN",0.5965463108320289,2
branch_3,15,3,12,0.9554906666666666,0.951571,0.963905,0.951571,1.0,32.0,"FILLIS I, 2023, J RES MARK ENTREP; FILLIS I, 2021, ARTS MARK; LEHMAN K, 2020, HDB ENTREPRENEURSHIP; ALEXIOU K, 2020, NONPROF VOLUNT SEC Q; FILLIS I, 2017, J VACAT MARK; BOOTH K, 2017, VISIT STUD; FIGUEIREDO B, 2016, J CONSUM RES; FILLIS I, 2015; LEHMAN K, 2014, J RES MARK ENTREP; FROST V, 2014, THEGUARDIAN; CROSSICK G, 2014, CULT TRENDS; ROXAS B, 2013, TOURISM MANAGE; KIRCHNER TA, 2013, SOCIAL BUSINESS; KIRCHNER T, 2013; HALLAK R, 2012, TOURISM MANAGE",0.0,3
