SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"SARWOKO E, 2021, ENTREPR BUS ECON REV",2021.0,ENTREPRENEURIAL MARKETING: BETWEEN ENTREPRENEURIAL PERSONALITY TRAITS AND BUSINESS PERFORMANCE,ENTREPRENEURIAL BUSINESS AND ECONOMICS REVIEW,ENTREPR BUS ECON REV,10.15678/EBER.2021.090207,,True,44.0,5.0,6.0,7.333333333333333,0.8302485257483385,0.646240625180289,0.1840079005680495,0.2095891998368162,1.0,10,0.5965146615238486,0.21225852111503027,0.36618781696226216,0.4903050862612397,fruit_candidate
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",2025.0,UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,8,0.5737926366822146,0.306085669728068,0.5753601430338802,0.4823146406224617,external_fruit_underabsorbed
"HONG YW, 2024, INT J ENTREP BEHAV R",2024.0,HOW IS ENTREPRENEURIAL MARKETING SHAPED BY E-COMMERCE TECHNOLOGY: A CASE STUDY OF CHINESE PURE-PLAY E-RETAILERS,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2022-0951,,True,27.0,5.0,3.0,9.0,0.7267673163826646,0.646240625180289,0.08052669120237554,0.09172173978676887,1.0,12,0.615430263788898,0.14539653834883964,0.21712993054343566,0.460374543617054,already_absorbing_into_tree
"TOLOSSA AT, 2024, BUS STRATEGY DEV",2024.0,LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,leaf,True,6.0,0.0,3.0,2.0,0.42441089453911174,0.0,0.42441089453911174,0.48341369861770556,1.0,11,0.6063669952934101,0.14893838508735288,0.22502590022636218,0.44822172401873916,external_fruit_underabsorbed
"ALFORD P, 2025, INT J ENTREP BEHAV R",2025.0,DIGITAL ENTREPRENEURIAL MARKETING BRICOLAGE: SHAPING TECHNOLOGY-IN-PRACTICE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2024-0746,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,1,0.4034853384761514,0.2819541431190773,0.5215628399390237,0.4428734506717634,external_fruit_underabsorbed
"OLAN F, 2026, INFORM SYST FRONT",2026.0,SOCIAL ENTREPRENEURIAL MARKETING AND INNOVATION IN B2B SERVICES: BUILDING RESILIENCE WITH EXPLAINABLE ARTIFICIAL INTELLIGENCE,INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,10.1007/s10796-025-10583-5,,True,4.0,0.0,1.0,4.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,2,0.4493963183411073,0.10795393874614727,0.13365776103987348,0.4413229815797414,fruit_candidate
"HAMZAH MI, 2023, INT J ENTREP SMALL B",2023.0,THE NATURE OF THE RELATIONSHIP BETWEEN AN ENTREPRENEURIAL MARKETING ORIENTATION AND SMALL BUSINESS GROWTH: EVIDENCE FROM MALAYSIA,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,INT J ENTREP SMALL B,10.1504/IJESB.2023.134174,,True,25.0,7.0,4.0,6.25,0.7106040671342294,0.75,0.0,0.0,1.0,17,0.652277975158366,0.28772225794846135,0.5344219112605496,0.4277802862932911,already_absorbing_into_tree
"CRICK JM, 2025, J STRATEG MARK",2025.0,MANAGING AN ENTREPRENEURIAL MARKETING ORIENTATION IN TURBULENT COMPETITIVE BUSINESS ENVIRONMENTS,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2024.2445655,leaf,True,4.0,0.0,2.0,2.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,10,0.5965146615238486,0.17813719764213673,0.29011989094116286,0.42350475725835157,fruit_candidate
"WIJEKOON S, 2024, EUR J MARKETING",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON NEW VENTURE BRAND IMAGE AND PERFORMANCE: A CAPABILITY PERSPECTIVE,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,10.1108/EJM-07-2022-0568,leaf,True,5.0,0.0,3.0,1.6666666666666667,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,13,0.6238215397565321,0.1465834314390569,0.21977591512411354,0.42328404527691055,external_fruit_underabsorbed
"MARIN A, 2023, J MARKET EDUC",2023.0,"FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA",JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,leaf,True,7.0,0.0,4.0,1.75,0.4535346327653293,0.0,0.4535346327653293,0.5165863013822942,1.0,4,0.50723731244452,0.09530309969844127,0.10545477853978912,0.41733705372599045,external_fruit_underabsorbed
"ROBLEDO S, 2023, J RES MARK ENTREP",2023.0,NETWORKING AS AN ENTREPRENEURIAL MARKETING TOOL: THE LINK BETWEEN EFFECTUATION AND WORD OF MOUTH,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-08-2020-0112,,True,30.0,7.0,4.0,7.5,0.7489665347595537,0.75,0.0,0.0,1.0,6,0.5453362012803806,0.23424858081536143,0.4152110688244941,0.4140534149900949,already_absorbing_into_tree
"TEGUH S, 2021, J ASIAN FINANC ECON",2021.0,INNOVATION CAPABILITY AND SUSTAINABLE COMPETITIVE ADVANTAGE: AN ENTREPRENEURIAL MARKETING PERSPECTIVE,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,J ASIAN FINANC ECON,10.13106/jafeb.2021.vol8.no5.0127,,True,23.0,3.0,6.0,3.8333333333333335,0.6931464280024585,0.5,0.19314642800245851,0.21999819122659758,1.0,3,0.4819706769523028,0.23028044955432278,0.4063647673190296,0.40799538127628243,fruit_candidate
"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J",2025.0,"THE INTERSECTION OF RESPONSIBLE LEADERSHIP AND ENTREPRENEURIAL MARKETING: THE ROLES OF ETHICAL CLIMATE, EFFECTIVE KNOWLEDGE TRANSFER AND PERSON-ORGANIZATION FIT",SOCIAL RESPONSIBILITY JOURNAL,SOC RESPONSIB J,10.1108/SRJ-01-2025-0008,leaf,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,13,0.6238215397565321,0.4965637684079935,1.0,0.4056213073372475,fruit_candidate
"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024.0,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,leaf,True,3.0,0.0,3.0,1.0,0.3023564218435529,0.0,0.3023564218435529,0.3443908675881962,1.0,17,0.652277975158366,0.32818672378371316,0.6246308387098168,0.39878932506879433,fruit_candidate
"MAHDI A, 2024, J RURAL STUD",2024.0,ENTREPRENEURIAL MARKETING PRACTICES AND RURAL WINE PRODUCERS' PERFORMANCE: THE MODERATING ROLE OF COMPETITIVE INTENSITY IN AN IMMEDIATE POST CRISIS PERIOD,JOURNAL OF RURAL STUDIES,J RURAL STUD,10.1016/j.jrurstud.2024.103277,,True,10.0,2.0,3.0,3.3333333333333335,0.5229906829118118,0.3962406251802891,0.12675005773152276,0.1443712095905128,1.0,17,0.652277975158366,0.20402184049964972,0.34782548080587217,0.39628986617431844,fruit_candidate
"YANG M, 2023, J INT MARKETING",2023.0,ENTREPRENEURS' SOCIAL TIES AND INTERNATIONAL DIGITAL ENTREPRENEURIAL MARKETING IN SMALL AND MEDIUM-SIZED ENTERPRISE INTERNATIONALIZATION,JOURNAL OF INTERNATIONAL MARKETING,J INT MARKETING,10.1177/1069031X231178220,,True,21.0,5.0,4.0,5.25,0.6741688938335882,0.646240625180289,0.027928268653299226,0.03181093562723359,1.0,7,0.5604560154284541,0.226722692374829,0.39843332790268454,0.3886787710635317,already_absorbing_into_tree
"LOPES JM, 2021, J RES MARK ENTREP",2021.0,ENTREPRENEURIAL MARKETING: A BIBLIOMETRIC ANALYSIS OF THE SECOND DECADE OF THE 21ST CENTURY AND FUTURE AGENDA,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-02-2019-0019,,True,30.0,6.0,6.0,5.0,0.7489665347595537,0.701838730514401,0.047127804245152616,0.053679645011518264,1.0,13,0.6238215397565321,0.12088107074157693,0.16247669360778835,0.38038463599761124,already_absorbing_into_tree
"SARFRAZ M, 2023, IND TEXTILA",2023.0,THE EFFECT OF ENTREPRENEURS' PERSONALITY ON ENTREPRENEURIAL MARKETING IN TEXTILE SECTOR: THE MEDIATING ROLE OF SELF-EFFICACY,INDUSTRIA TEXTILA,IND TEXTILA,10.35530/IT.074.02.202179,leaf,True,5.0,0.0,4.0,1.25,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,4,0.50723731244452,0.1387385053746171,0.20228693184991953,0.37730191019940706,external_fruit_underabsorbed
"OURAGINI I, 2024, J KNOWL ECON",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON THE FIRM PERFORMANCE,JOURNAL OF THE KNOWLEDGE ECONOMY,J KNOWL ECON,10.1007/s13132-023-01352-3,,True,15.0,5.0,3.0,5.0,0.6047128436871058,0.646240625180289,0.0,0.0,1.0,13,0.6238215397565321,0.14797143248006298,0.22287023708346942,0.367636114591148,already_absorbing_into_tree
"CHOOSET N, 2025, COGENT BUS MANAG",2025.0,DEVELOPING ENTREPRENEURIAL MARKETING DIMENSIONS FOR SMES IN THE DIGITAL ERA: A GROUNDED THEORY APPROACH,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2025.2480748,leaf,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,21,0.675,0.27988784489670526,0.5169563650336236,0.3675526358893034,fruit_candidate
"LI LY, 2023, SUSTAINABILITY-BASEL",2023.0,"SUSTAINABLE MICRO, SMALL, AND MEDIUM ENTERPRISES: A DEVELOPED MODEL OF ENTREPRENEURIAL MARKETING BEHAVIORS FOR THAILAND'S MSMES",SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su151713135,leaf,True,4.0,0.0,4.0,1.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,6,0.5453362012803806,0.12677805898766903,0.17562306719459767,0.3519022849240482,fruit_candidate
"ALKUFAHY A, 2023",2023.0,THE MODERATING ROLE OF SOCIAL MEDIA MARKETING ON THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING STRATEGY AND BUSINESS OUTCOMES: AN EMPIRICAL STUDY IN SMES IN JORDAN,JOURNAL OF SYSTEM AND MANAGEMENT SCIENCES,,10.33168/JSMS.2023.0418,leaf,True,4.0,0.0,4.0,1.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,2,0.4493963183411073,0.2109549692087398,0.36328176057640305,0.35148017767437406,fruit_candidate
"BASHA M, 2023",2023.0,ENTREPRENEURIAL MARKETING STRATEGY AND CUSTOMER LOYALTY: AN EMPIRICAL EVIDENCE FROM COFFEE SHOPS,CORPORATE AND BUSINESS STRATEGY REVIEW,,10.22495/CBSRV4I1ART16,leaf,True,4.0,0.0,4.0,1.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,2,0.4493963183411073,0.1957679597773448,0.32942479981616657,0.3480944815983504,fruit_candidate
"HO KLP, 2022, J INNOV KNOWL",2022.0,LEVERAGING ENTREPRENEURIAL MARKETING PROCESSES TO AMELIORATE THE LIABILITY OF POORNESS: THE CASE OF SMALLHOLDERS AND SMES IN DEVELOPING ECONOMIES,JOURNAL OF INNOVATION & KNOWLEDGE,J INNOV KNOWL,10.1016/j.jik.2022.100232,,True,11.0,2.0,5.0,2.2,0.5419682170806821,0.3962406251802891,0.14572759190039303,0.16598705428549865,1.0,5,0.5278816568172586,0.1846513584140574,0.30464215002298467,0.3373323390374664,fruit_candidate
"MCCARTAN A, 2023, J MARKET EDUC",2023.0,EXPLORING STUDENTS' MOTIVATION TO PARTICIPATE IN ENTREPRENEURIAL MARKETING EDUCATION,JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231178501,,True,8.0,1.0,4.0,2.0,0.47922359047425844,0.25,0.22922359047425844,0.2610909029607387,1.0,4,0.50723731244452,0.07830365663383722,0.06755729257429142,0.3348359482038156,fruit_candidate
"MANISHIMWE T, 2022, J REVENUE PRICING MA",2022.0,CUSTOMER-CENTRIC INFLUENCE OF ENTREPRENEURIAL MARKETING ON BUSINESS PERFORMANCE OF HOTELS IN NIGERIA DURING THE COVID-19 CRISIS,JOURNAL OF REVENUE AND PRICING MANAGEMENT,J REVENUE PRICING MA,10.1057/s41272-022-00383-w,,True,18.0,5.0,5.0,3.6,0.6421940816077917,0.646240625180289,0.0,0.0,1.0,14,0.6316336307856274,0.1317061096996859,0.18660935256795738,0.33286153858825135,already_absorbing_into_tree
"BUCCIERI D, 2022, J BUS RES",2022.0,ENTREPRENEURIAL MARKETING AND RECONFIGURATION TOWARDS POST-ENTRY PERFORMANCE: MODERATING EFFECTS OF MARKET DYNAMISM AND ENTRY MODE,JOURNAL OF BUSINESS RESEARCH,J BUS RES,10.1016/j.jbusres.2022.04.053,,True,18.0,5.0,5.0,3.6,0.6421940816077917,0.646240625180289,0.0,0.0,1.0,13,0.6238215397565321,0.10993767406953514,0.13808017542672416,0.3264462026683089,already_absorbing_into_tree
"HILAL OA, 2022, J ENTREP EMERG ECON",2022.0,ENTREPRENEURIAL MARKETING AND BANK PERFORMANCE IN EGYPT: IS ENVIRONMENTAL TURBULENCE A MISSING LINK?,JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES,J ENTREP EMERG ECON,10.1108/JEEE-12-2020-0445,,True,11.0,3.0,5.0,2.2,0.5419682170806821,0.5,0.0419682170806821,0.04780275743249954,1.0,12,0.615430263788898,0.24211211511591912,0.4327415361263966,0.3262874951435858,fruit_candidate
"OURAGINI I, 2024, INT J MANAG EDUC-OXF",2024.0,THE EFFECT OF ENTREPRENEURIAL MARKETING EDUCATION ON THE DETERMINANTS OF STUDENTS' ENTREPRENEURIAL INTENTION,INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,INT J MANAG EDUC-OXF,10.1016/j.ijme.2023.100903,,True,6.0,1.0,3.0,2.0,0.42441089453911174,0.25,0.17441089453911174,0.19865799086032823,1.0,5,0.5278816568172586,0.09911381730223541,0.11395015196816721,0.3217525837826073,fruit_candidate
"TIAN HY, 2025, J COMPETITIVENESS",2025.0,DATA-DRIVEN DISRUPTIVE COMPETITIVENESS: EXPLORING THE ROLE OF BIG DATA ANALYTICS CAPABILITY AND ENTREPRENEURIAL MARKETING IN DISRUPTIVE INNOVATION,JOURNAL OF COMPETITIVENESS,J COMPETITIVENESS,10.7441/joc.2025.01.12,leaf,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,7,0.5604560154284541,0.17593556079200864,0.2852117006368239,0.3214693725353142,fruit_candidate
"PETRYLAITE E, 2021, J RES MARK ENTREP",2021.0,ENTREPRENEURIAL MARKETING LEARNING STYLES USED BY ENTREPRENEURIAL TEAMS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-12-2019-0099,,True,8.0,1.0,6.0,1.3333333333333333,0.47922359047425844,0.25,0.22922359047425844,0.2610909029607387,1.0,5,0.5278816568172586,0.12385293441824338,0.16910197900977583,0.31817978766876076,fruit_candidate
"LOTFABADI VT, 2024, INTERD J MANAGE STUD",2024.0,HOW ENTREPRENEURIAL MARKETING LEADS TO CUSTOMER SATISFACTION (THE MEDIATION EFFECT OF CUSTOMER VALUE),INTERDISCIPLINARY JOURNAL OF MANAGEMENT STUDIES,INTERD J MANAGE STUD,10.22059/ijms.2023.347747.675310,leaf,True,2.0,0.0,3.0,0.6666666666666666,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,11,0.6063669952934101,0.2175555308436164,0.3779966362915366,0.31748432551157313,fruit_candidate
"FILLIS I, 2021, ARTS MARK",2021.0,ART COLLECTING AS CONSUMPTION AND ENTREPRENEURIAL MARKETING AS STRATEGY,ARTS AND THE MARKET,ARTS MARK,10.1108/AAM-09-2020-0035,,True,8.0,1.0,6.0,1.3333333333333333,0.47922359047425844,0.25,0.22922359047425844,0.2610909029607387,1.0,8,0.5737926366822146,0.07542700854625888,0.061144274799981455,0.3165662132207725,fruit_candidate
"AMJAD T, 2022, INT J MANAG EDUC-OXF",2022.0,DIGITAL ENTREPRENEURIAL MARKETING: A BIBLIOMETRIC ANALYSIS REVEALS AN INESCAPABLE NEED OF BUSINESS SCHOOLS,INTERNATIONAL JOURNAL OF MANAGEMENT EDUCATION,INT J MANAG EDUC-OXF,10.1016/j.ijme.2022.100655,,True,18.0,3.0,5.0,3.6,0.6421940816077917,0.5,0.14219408160779168,0.16196230538854797,2.0,0,0.21666666666666667,0.16345023506756598,0.2573777030982843,0.31363178770348366,fruit_candidate
"AMJAD T, 2023, J RES MARK ENTREP",2023.0,A BIBLIOMETRIC ANALYSIS AND TEXT MINING OF THE ENTREPRENEURIAL MARKETING DOMAIN: EMERGING TRENDS AND FUTURE RESEARCH DIRECTIONS,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-03-2021-0032,,True,12.0,4.0,4.0,3.0,0.559425856212453,0.5804820237218405,0.0,0.0,1.0,3,0.4819706769523028,0.21011712474589267,0.3614139229859979,0.3032032127096017,fruit_candidate
"MAHDI A, 2024, INT J ENTREP BEHAV R",2024.0,A STUDY OF ENTREPRENEURIAL MARKETING ACTIVITIES AND FIRM PERFORMANCE IN AN IMMEDIATE POST-COVID-19 ERA: THE MODERATING ROLE OF COOPETITION,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2023-0743,,True,3.0,1.0,3.0,1.0,0.3023564218435529,0.25,0.05235642184355288,0.059635159830818844,1.0,20,0.669732519621488,0.289411134554117,0.5381869862231264,0.2939713509976676,fruit_candidate
"AMADASUN OED, 2025, SO AFR J ENTREP SMAL",2025.0,EFFECT OF ENTREPRENEURIAL MARKETING ON SMES COMPETITIVE PERFORMANCE IN LESOTHO,SOUTHERN AFRICAN JOURNAL OF ENTREPRENEURSHIP AND SMALL BUSINESS MANAGEMENT (SAJESBM),SO AFR J ENTREP SMAL,10.4102/sajesbm.v17i1.889,,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,1,0.4034853384761514,0.18354671697077451,0.3021795320751716,0.2917720202886885,fruit_candidate
"KOWALIK I, 2022, J BUS IND MARK",2022.0,ENTREPRENEURIAL MARKETING ORIENTATION OF THE POLISH AND FINNISH SMES AND ITS ENVIRONMENTAL DETERMINANTS,JOURNAL OF BUSINESS & INDUSTRIAL MARKETING,J BUS IND MARK,10.1108/JBIM-07-2021-0333,,True,8.0,2.0,5.0,1.6,0.47922359047425844,0.3962406251802891,0.08298296529396937,0.09451949205636051,1.0,12,0.615430263788898,0.12128204608786458,0.16337060274944057,0.29013862900976123,fruit_candidate
"NWANKWO CA, 2023, FOUND MANAGE",2023.0,CRITICAL UNDERSTANDING OF EXISTING ENTREPRENEURIAL MARKETING MODELS: 2002 - 2022,FOUNDATIONS OF MANAGEMENT,FOUND MANAGE,10.2478/fman-2023-0007,leaf,True,2.0,0.0,4.0,0.5,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,11,0.6063669952934101,0.13851785964905497,0.2017950381886943,0.286893157664175,fruit_candidate
"BRUCE HL, 2023, J MARKET MANAG-UK",2023.0,WOMEN MICROBUSINESS OWNERS' ENTREPRENEURIAL MARKETING DECISION-MAKING DURING A CRISIS,JOURNAL OF MARKETING MANAGEMENT,J MARKET MANAG-UK,10.1080/0267257X.2023.2209584,,True,6.0,2.0,4.0,1.5,0.42441089453911174,0.3962406251802891,0.028170269358822664,0.03208657995595003,1.0,6,0.5453362012803806,0.28114451271975377,0.5197579010019657,0.2850785371998756,fruit_candidate
"HANAYSHA JR, 2023, IIM KOZHIKODE SOC MA",2023.0,"EXPLORING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING DIMENSIONS, BRAND EQUITY AND SME GROWTH",IIM KOZHIKODE SOCIETY & MANAGEMENT REVIEW,IIM KOZHIKODE SOC MA,10.1177/22779752221125265,,True,9.0,4.0,4.0,2.25,0.5022031461958567,0.5804820237218405,0.0,0.0,1.0,11,0.6063669952934101,0.1159024982681933,0.15137777820678167,0.2815162319854212,fruit_candidate
