SR,year,title,journal,source_title,doi,baseline_ToS,in_current_graph,cited_by,internal_indegree,years_since_publication,external_citation_velocity,external_citation_score,internal_citation_score,external_attention_gap_raw,external_attention_gap_score,field_distance,direct_field_neighbor_count,network_proximity_score,text_relevance_raw,text_relevance_score,fruit_score,fruit_signal_type
"ALIAKBARI A, 2025, INT J ENTREP BEHAV R",2025.0,UNPACKING THE RELATIONSHIP BETWEEN ENTREPRENEURIAL MARKETING ACTIVITIES AND SMALL FIRM PERFORMANCE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2024-1173,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,8,0.5737926366822146,0.306085669728068,0.5753601430338802,0.4823146406224617,external_fruit_underabsorbed
"HONG YW, 2024, INT J ENTREP BEHAV R",2024.0,HOW IS ENTREPRENEURIAL MARKETING SHAPED BY E-COMMERCE TECHNOLOGY: A CASE STUDY OF CHINESE PURE-PLAY E-RETAILERS,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-10-2022-0951,,True,27.0,5.0,3.0,9.0,0.7267673163826646,0.646240625180289,0.08052669120237554,0.09172173978676887,1.0,12,0.615430263788898,0.14539653834883964,0.21712993054343566,0.460374543617054,already_absorbing_into_tree
"TOLOSSA AT, 2024, BUS STRATEGY DEV",2024.0,LINKING BUSINESS SUSTAINABLE DEVELOPMENT WITH ENTREPRENEURIAL MARKETING PRACTICES: EVIDENCE FROM SMALL AND MEDIUM ENTERPRISES IN ETHIOPIA,BUSINESS STRATEGY AND DEVELOPMENT,BUS STRATEGY DEV,10.1002/bsd2.412,leaf,True,6.0,0.0,3.0,2.0,0.42441089453911174,0.0,0.42441089453911174,0.48341369861770556,1.0,11,0.6063669952934101,0.14893838508735288,0.22502590022636218,0.44822172401873916,external_fruit_underabsorbed
"ALFORD P, 2025, INT J ENTREP BEHAV R",2025.0,DIGITAL ENTREPRENEURIAL MARKETING BRICOLAGE: SHAPING TECHNOLOGY-IN-PRACTICE,INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,INT J ENTREP BEHAV R,10.1108/IJEBR-07-2024-0746,leaf,True,5.0,0.0,2.0,2.5,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,1,0.4034853384761514,0.2819541431190773,0.5215628399390237,0.4428734506717634,external_fruit_underabsorbed
"OLAN F, 2026, INFORM SYST FRONT",2026.0,SOCIAL ENTREPRENEURIAL MARKETING AND INNOVATION IN B2B SERVICES: BUILDING RESILIENCE WITH EXPLAINABLE ARTIFICIAL INTELLIGENCE,INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,10.1007/s10796-025-10583-5,,True,4.0,0.0,1.0,4.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,2,0.4493963183411073,0.10795393874614727,0.13365776103987348,0.4413229815797414,fruit_candidate
"HAMZAH MI, 2023, INT J ENTREP SMALL B",2023.0,THE NATURE OF THE RELATIONSHIP BETWEEN AN ENTREPRENEURIAL MARKETING ORIENTATION AND SMALL BUSINESS GROWTH: EVIDENCE FROM MALAYSIA,INTERNATIONAL JOURNAL OF ENTREPRENEURSHIP & SMALL BUSINESS,INT J ENTREP SMALL B,10.1504/IJESB.2023.134174,,True,25.0,7.0,4.0,6.25,0.7106040671342294,0.75,0.0,0.0,1.0,17,0.652277975158366,0.28772225794846135,0.5344219112605496,0.4277802862932911,already_absorbing_into_tree
"CRICK JM, 2025, J STRATEG MARK",2025.0,MANAGING AN ENTREPRENEURIAL MARKETING ORIENTATION IN TURBULENT COMPETITIVE BUSINESS ENVIRONMENTS,JOURNAL OF STRATEGIC MARKETING,J STRATEG MARK,10.1080/0965254X.2024.2445655,leaf,True,4.0,0.0,2.0,2.0,0.3510249352740802,0.0,0.3510249352740802,0.3998254155378331,1.0,10,0.5965146615238486,0.17813719764213673,0.29011989094116286,0.42350475725835157,fruit_candidate
"WIJEKOON S, 2024, EUR J MARKETING",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON NEW VENTURE BRAND IMAGE AND PERFORMANCE: A CAPABILITY PERSPECTIVE,EUROPEAN JOURNAL OF MARKETING,EUR J MARKETING,10.1108/EJM-07-2022-0568,leaf,True,5.0,0.0,3.0,1.6666666666666667,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,13,0.6238215397565321,0.1465834314390569,0.21977591512411354,0.42328404527691055,external_fruit_underabsorbed
"MARIN A, 2023, J MARKET EDUC",2023.0,"FROM LAB TO MARKET: LEARNING ENTREPRENEURIAL MARKETING THROUGH MULTI-SEMESTER, STAGE-GATE, CAPSTONE PROJECT IN STEM MBA",JOURNAL OF MARKETING EDUCATION,J MARKET EDUC,10.1177/02734753231185415,leaf,True,7.0,0.0,4.0,1.75,0.4535346327653293,0.0,0.4535346327653293,0.5165863013822942,1.0,4,0.50723731244452,0.09530309969844127,0.10545477853978912,0.41733705372599045,external_fruit_underabsorbed
"ROBLEDO S, 2023, J RES MARK ENTREP",2023.0,NETWORKING AS AN ENTREPRENEURIAL MARKETING TOOL: THE LINK BETWEEN EFFECTUATION AND WORD OF MOUTH,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-08-2020-0112,,True,30.0,7.0,4.0,7.5,0.7489665347595537,0.75,0.0,0.0,1.0,6,0.5453362012803806,0.23424858081536143,0.4152110688244941,0.4140534149900949,already_absorbing_into_tree
"TEGUH S, 2021, J ASIAN FINANC ECON",2021.0,INNOVATION CAPABILITY AND SUSTAINABLE COMPETITIVE ADVANTAGE: AN ENTREPRENEURIAL MARKETING PERSPECTIVE,JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,J ASIAN FINANC ECON,10.13106/jafeb.2021.vol8.no5.0127,,True,23.0,3.0,6.0,3.8333333333333335,0.6931464280024585,0.5,0.19314642800245851,0.21999819122659758,1.0,3,0.4819706769523028,0.23028044955432278,0.4063647673190296,0.40799538127628243,fruit_candidate
"KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J",2025.0,"THE INTERSECTION OF RESPONSIBLE LEADERSHIP AND ENTREPRENEURIAL MARKETING: THE ROLES OF ETHICAL CLIMATE, EFFECTIVE KNOWLEDGE TRANSFER AND PERSON-ORGANIZATION FIT",SOCIAL RESPONSIBILITY JOURNAL,SOC RESPONSIB J,10.1108/SRJ-01-2025-0008,leaf,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,13,0.6238215397565321,0.4965637684079935,1.0,0.4056213073372475,fruit_candidate
"CHEN YH, 2024, SUSTAINABILITY-BASEL",2024.0,THE INNOVATIVE ENTREPRENEURIAL MARKETING JOURNEY AND SUSTAINABLE DEVELOPMENT OF SOUTHEAST ASIAN IMMIGRANTS,SUSTAINABILITY,SUSTAINABILITY-BASEL,10.3390/su16072815,leaf,True,3.0,0.0,3.0,1.0,0.3023564218435529,0.0,0.3023564218435529,0.3443908675881962,1.0,17,0.652277975158366,0.32818672378371316,0.6246308387098168,0.39878932506879433,fruit_candidate
"MAHDI A, 2024, J RURAL STUD",2024.0,ENTREPRENEURIAL MARKETING PRACTICES AND RURAL WINE PRODUCERS' PERFORMANCE: THE MODERATING ROLE OF COMPETITIVE INTENSITY IN AN IMMEDIATE POST CRISIS PERIOD,JOURNAL OF RURAL STUDIES,J RURAL STUD,10.1016/j.jrurstud.2024.103277,,True,10.0,2.0,3.0,3.3333333333333335,0.5229906829118118,0.3962406251802891,0.12675005773152276,0.1443712095905128,1.0,17,0.652277975158366,0.20402184049964972,0.34782548080587217,0.39628986617431844,fruit_candidate
"YANG M, 2023, J INT MARKETING",2023.0,ENTREPRENEURS' SOCIAL TIES AND INTERNATIONAL DIGITAL ENTREPRENEURIAL MARKETING IN SMALL AND MEDIUM-SIZED ENTERPRISE INTERNATIONALIZATION,JOURNAL OF INTERNATIONAL MARKETING,J INT MARKETING,10.1177/1069031X231178220,,True,21.0,5.0,4.0,5.25,0.6741688938335882,0.646240625180289,0.027928268653299226,0.03181093562723359,1.0,7,0.5604560154284541,0.226722692374829,0.39843332790268454,0.3886787710635317,already_absorbing_into_tree
"LOPES JM, 2021, J RES MARK ENTREP",2021.0,ENTREPRENEURIAL MARKETING: A BIBLIOMETRIC ANALYSIS OF THE SECOND DECADE OF THE 21ST CENTURY AND FUTURE AGENDA,JOURNAL OF RESEARCH IN MARKETING AND ENTREPRENEURSHIP,J RES MARK ENTREP,10.1108/JRME-02-2019-0019,,True,30.0,6.0,6.0,5.0,0.7489665347595537,0.701838730514401,0.047127804245152616,0.053679645011518264,1.0,13,0.6238215397565321,0.12088107074157693,0.16247669360778835,0.38038463599761124,already_absorbing_into_tree
"SARFRAZ M, 2023, IND TEXTILA",2023.0,THE EFFECT OF ENTREPRENEURS' PERSONALITY ON ENTREPRENEURIAL MARKETING IN TEXTILE SECTOR: THE MEDIATING ROLE OF SELF-EFFICACY,INDUSTRIA TEXTILA,IND TEXTILA,10.35530/IT.074.02.202179,leaf,True,5.0,0.0,4.0,1.25,0.39079000615890563,0.0,0.39079000615890563,0.4451187391531561,1.0,4,0.50723731244452,0.1387385053746171,0.20228693184991953,0.37730191019940706,external_fruit_underabsorbed
"OURAGINI I, 2024, J KNOWL ECON",2024.0,THE IMPACT OF ENTREPRENEURIAL MARKETING ON THE FIRM PERFORMANCE,JOURNAL OF THE KNOWLEDGE ECONOMY,J KNOWL ECON,10.1007/s13132-023-01352-3,,True,15.0,5.0,3.0,5.0,0.6047128436871058,0.646240625180289,0.0,0.0,1.0,13,0.6238215397565321,0.14797143248006298,0.22287023708346942,0.367636114591148,already_absorbing_into_tree
"CHOOSET N, 2025, COGENT BUS MANAG",2025.0,DEVELOPING ENTREPRENEURIAL MARKETING DIMENSIONS FOR SMES IN THE DIGITAL ERA: A GROUNDED THEORY APPROACH,COGENT BUSINESS & MANAGEMENT,COGENT BUS MANAG,10.1080/23311975.2025.2480748,leaf,True,2.0,0.0,2.0,1.0,0.23961179523712922,0.0,0.23961179523712922,0.272923305359058,1.0,21,0.675,0.27988784489670526,0.5169563650336236,0.3675526358893034,fruit_candidate
