branch_label,paper_count,dominant_parent_trunk_subtopic_id,score_weighted_parent_trunk_subtopic_id,parent_trunk_distribution,parent_trunk_score_distribution,structural_connection_to_trunk,mean_path_proximity,strong_assignments,moderate_assignments,semantic_coherence,mean_publication_year,newest_publication_year,oldest_publication_year,recent_activity,recent_paper_share,citations_received,mean_citation_velocity,max_citation_velocity,top_terms,member_node_ids,structural_score,semantic_score,recent_score,velocity_score,branch_trend_score,branch_trend_rank
branch_2,15,trunk_subtopic_1,trunk_subtopic_2,trunk_subtopic_1:9; trunk_subtopic_2:4; trunk_subtopic_3:2,trunk_subtopic_2:1.004675; trunk_subtopic_3:0.303814; trunk_subtopic_1:0.178135,0.09910826666666667,0.16666666666666666,3,0,0.058387954243461576,2021.5333333333333,2025,2019,0.361904761904762,0.8666666666666667,31.0,0.4257936507936507,1.0,entrepreneurial; marketing; knowledge; ethical; climate; transfer; organizational; organization; work; role; environment; learning,"KHASMAFKAN-NEZAM MH, 2025, VINE J INF KNOWL MAN; KHASMAFKAN-NEZAM MH, 2025, SOC RESPONSIB J; RIGGS R, 2024, J BUS RES; MAKHLOUFI L, 2024, J RES MARK ENTREP; MARQUES T, 2023, LEADERSH HEALTH SERV; PETRYLAITE E, 2021, J RES MARK ENTREP; YASIN R, 2021, J KNOWL MANAG; KANG H, 2021, ASIAN NURS RES; HALISAH A, 2021, J KNOWL MANAG; TEO STT, 2020, INT J HOSP MANAG; MUHAMMED S, 2020, J KNOWL MANAG; KIM W, 2020, APPL ERGON; BJORVATN T, 2020, J KNOWL MANAG; PASCHEN J, 2019, J BUS IND MARK; MULKI J, 2019, J BUS RES",0.4421585042960367,1.0,0.8823529411764709,0.3885620529902651,0.6809481971809818,1
branch_1,15,trunk_subtopic_2,trunk_subtopic_3,trunk_subtopic_1:1; trunk_subtopic_2:9; trunk_subtopic_3:5,trunk_subtopic_3:1.084557; trunk_subtopic_2:0.220106; trunk_subtopic_1:0.105644,0.09402046666666665,0.13333333333333333,2,2,0.035650179844337646,2021.5333333333333,2025,2017,0.4,0.7333333333333333,41.0,0.7014814814814815,4.0,entrepreneurial; marketing; direct; immigrant; entrepreneurship; process; selling; southeast; asian; immigrants; micro; small,"CRICK JM, 2025, INT J ENTREP BEHAV R; CHEN YH, 2024, SUSTAINABILITY-BASEL; ALAREENI B, 2025, J STRATEG MARK; CHOU WC, 2023, NTU MANAG REV; MAYUTO R, 2023, FRONT PSYCHOL; AL-SHAIKH ME, 2023, WORLD DEVELOPMENT SUSTAINABILITY; SHAHMOHAMMADI B, 2022, JOURNAL OF MANAGEMENT AND ENTREPRENEURSHIP RESEARCH; NWANKWO CA, 2022, ACADEMY OF STRATEGIC MANAGEMENT JOURNAL; BUCCIERI D, 2022, IND MARKET MANAG; LI E, 2021, SUSTAINABILITY-BASEL; CRICK JM, 2021, J STRATEG MARK; SCHWEIGER SA, 2019, STRATEGIC MANAGE J; CRESWELL JOHNW, 2018, JOURNAL OF INVESTIGATIVE SURGERY : THE OFFICIAL JOURNAL OF THE ACADEMY OF SURGICAL RESEARCH; ARLI D, 2018, IND MARKET MANAG; REZAEI R, 2017, J AGR SCI TECH-IRAN",0.0,0.0,1.0,1.0,0.45,2
branch_3,15,trunk_subtopic_2,trunk_subtopic_2,trunk_subtopic_1:2; trunk_subtopic_2:9; trunk_subtopic_3:4,trunk_subtopic_2:1.109355; trunk_subtopic_3:0.377306; trunk_subtopic_1:0.096247,0.10552719999999999,0.16666666666666666,3,0,0.04231839639669705,2016.1333333333334,2023,2012,0.07619047619047618,0.26666666666666666,39.0,0.2742945942945943,1.0,art; entrepreneurial; marketing; creation; arts; market; artists; value; product; museum; tourism; key,"FILLIS I, 2023, J RES MARK ENTREP; FILLIS I, 2021, ARTS MARK; LEHMAN K, 2020, HDB ENTREPRENEURSHIP; ALEXIOU K, 2020, NONPROF VOLUNT SEC Q; FILLIS I, 2017, J VACAT MARK; BOOTH K, 2017, VISIT STUD; FIGUEIREDO B, 2016, J CONSUM RES; FILLIS I, 2015; LEHMAN K, 2014, J RES MARK ENTREP; FROST V, 2014, THEGUARDIAN; CROSSICK G, 2014, CULT TRENDS; ROXAS B, 2013, TOURISM MANAGE; KIRCHNER TA, 2013, SOCIAL BUSINESS; KIRCHNER T, 2013; HALLAK R, 2012, TOURISM MANAGE",1.0,0.29326601783050177,0.0,0.0,0.37331650445762543,3
